SiteID,lat,long
Nashua,42.93684337,-92.57007058
Kanawha,42.95826588,-93.79001878
Charles_City,43.07680575,-92.7883276
Boone,42.02247845,-93.77682892
Greenfield,41.27935442,-94.44351863
